,0h-1,0h-10,0h-11,0h-12,0h-13,0h-14,0h-15,0h-16,0h-2,0h-3,0h-4,0h-5,0h-6,0h-7,0h-8,0h-9,8-144h-1,8-144h-10,8-144h-11,8-144h-12,8-144h-13,8-144h-14,8-144h-15,8-144h-16,8-144h-2,8-144h-3,8-144h-4,8-144h-5,8-144h-6,8-144h-7,8-144h-8,8-144h-9,8-24h-1,8-24h-10,8-24h-11,8-24h-12,8-24h-13,8-24h-14,8-24h-15,8-24h-16,8-24h-2,8-24h-3,8-24h-4,8-24h-5,8-24h-6,8-24h-7,8-24h-8,8-24h-9,8-72h-1,8-72h-10,8-72h-11,8-72h-12,8-72h-13,8-72h-14,8-72h-15,8-72h-16,8-72h-2,8-72h-3,8-72h-4,8-72h-5,8-72h-6,8-72h-7,8-72h-8,8-72h-9,P-144h-1,P-144h-10,P-144h-11,P-144h-12,P-144h-13,P-144h-14,P-144h-15,P-144h-16,P-144h-2,P-144h-3,P-144h-4,P-144h-5,P-144h-6,P-144h-7,P-144h-8,P-144h-9,P-24h-1,P-24h-10,P-24h-11,P-24h-12,P-24h-13,P-24h-14,P-24h-15,P-24h-16,P-24h-2,P-24h-3,P-24h-4,P-24h-5,P-24h-6,P-24h-7,P-24h-8,P-24h-9,P-72h-1,P-72h-10,P-72h-11,P-72h-12,P-72h-13,P-72h-14,P-72h-15,P-72h-16,P-72h-2,P-72h-3,P-72h-4,P-72h-5,P-72h-6,P-72h-7,P-72h-8,P-72h-9,S-144h-1,S-144h-10,S-144h-11,S-144h-12,S-144h-13,S-144h-14,S-144h-15,S-144h-16,S-144h-2,S-144h-3,S-144h-4,S-144h-5,S-144h-6,S-144h-7,S-144h-8,S-144h-9,S-24h-1,S-24h-10,S-24h-11,S-24h-12,S-24h-13,S-24h-14,S-24h-15,S-24h-16,S-24h-2,S-24h-3,S-24h-4,S-24h-5,S-24h-6,S-24h-7,S-24h-8,S-24h-9,S-72h-1,S-72h-10,S-72h-11,S-72h-12,S-72h-13,S-72h-14,S-72h-15,S-72h-16,S-72h-2,S-72h-3,S-72h-4,S-72h-5,S-72h-6,S-72h-7,S-72h-8,S-72h-9
UT_C18_POS_75913,,23.44485110711941,-1.5653448378596602,15.19014258373347,,,,,,,,,,,,15.924924560442712,,14.930308835264537,16.490463739646906,-1.5653448378596602,,,,,,,,,,,,-1.5653448378596602,,16.31458766949513,15.294550213335867,24.681454618616907,,,,,,,,,,,,-1.5653448378596602,,15.460576617136743,17.54156304058927,16.741558429153844,,,,,,,,,,,,20.709227386796684,,17.713731116996556,18.589722091709746,21.899816690995344,,,,,,,,,,,,16.80306984065621,,16.440232236751392,-1.5653448378596602,-1.5653448378596602,,,,,,,,,,,,19.54804483912267,,-1.5653448378596602,-1.5653448378596602,16.57594542033757,,,,,,,,,,,,23.00321318262998,,-1.5653448378596602,-1.5653448378596602,17.776477113548562,,,,,,,,,,,,-1.5653448378596602,,16.53148487635494,-1.5653448378596602,15.82082296443719,,,,,,,,,,,,15.99882909635243,,-1.5653448378596602,14.548435540940346,20.592171582701415,,,,,,,,,,,,16.45885722484343
UT_C18_POS_72749,,20.62441066112572,-1.5653448378596602,16.697592866341978,,,,,,,,,,,,16.85881855085409,,-1.5653448378596602,16.426890260929763,-1.5653448378596602,,,,,,,,,,,,-1.5653448378596602,,16.069922769992342,16.01961570254106,21.78876221522903,,,,,,,,,,,,-1.5653448378596602,,17.249997454899876,16.509738670564523,16.567536356904622,,,,,,,,,,,,19.703231816261294,,19.198518781044733,17.599860625465436,18.355816490112133,,,,,,,,,,,,-1.5653448378596602,,17.041130363128616,-1.5653448378596602,15.410060645990672,,,,,,,,,,,,19.16503553664039,,-1.5653448378596602,-1.5653448378596602,16.56489985476556,,,,,,,,,,,,20.0028684312897,,-1.5653448378596602,-1.5653448378596602,18.48144730616029,,,,,,,,,,,,-1.5653448378596602,,16.20359711098298,-1.5653448378596602,16.211727487733828,,,,,,,,,,,,17.367794811325634,,-1.5653448378596602,-1.5653448378596602,18.047474358875526,,,,,,,,,,,,16.57029763291081
UT_C18_POS_66240,,19.734244548109046,-1.5653448378596602,-1.5653448378596602,,,,,,,,,,,,-1.5653448378596602,,-1.5653448378596602,19.36615796342418,15.287095134723058,,,,,,,,,,,,16.64460143665758,,-1.5653448378596602,-1.5653448378596602,-1.5653448378596602,,,,,,,,,,,,18.853487748916848,,18.876143094790017,19.02786119235092,-1.5653448378596602,,,,,,,,,,,,-1.5653448378596602,,-1.5653448378596602,-1.5653448378596602,18.718506855416777,,,,,,,,,,,,-1.5653448378596602,,-1.5653448378596602,16.56629862014867,-1.5653448378596602,,,,,,,,,,,,17.70770814203207,,17.36249394638914,15.621004289580355,-1.5653448378596602,,,,,,,,,,,,-1.5653448378596602,,18.154356119571837,18.51006525504234,19.10821023169327,,,,,,,,,,,,16.906735610277618,,-1.5653448378596602,18.742777178121344,19.952525278290686,,,,,,,,,,,,17.720274857507775,,-1.5653448378596602,18.326978890319896,20.4119015326471,,,,,,,,,,,,-1.5653448378596602
UT_C18_POS_71173,,17.899339337609696,-1.5653448378596602,15.653704061605774,,,,,,,,,,,,17.660458711637336,,-1.5653448378596602,17.407992233132674,-1.5653448378596602,,,,,,,,,,,,-1.5653448378596602,,17.2221900061607,16.64428386291617,20.863122742391294,,,,,,,,,,,,-1.5653448378596602,,16.854037908142033,17.364627230604796,16.723198697121468,,,,,,,,,,,,20.296796368547103,,18.458368682073036,15.592120180277412,16.841104587418908,,,,,,,,,,,,-1.5653448378596602,,17.176081769812594,-1.5653448378596602,-1.5653448378596602,,,,,,,,,,,,17.516535532775087,,-1.5653448378596602,-1.5653448378596602,15.47411531744302,,,,,,,,,,,,19.33555936700008,,-1.5653448378596602,-1.5653448378596602,-1.5653448378596602,,,,,,,,,,,,-1.5653448378596602,,16.448333238754653,15.900291303492894,-1.5653448378596602,,,,,,,,,,,,-1.5653448378596602,,-1.5653448378596602,-1.5653448378596602,18.108085390547693,,,,,,,,,,,,17.309932186670324
UT_C18_POS_71585,,16.755034122789425,15.826152754442262,16.08336588515695,,,,,,,,,,,,17.42823224301189,,-1.5653448378596602,17.711049588236605,17.45950782432607,,,,,,,,,,,,17.140943974285737,,16.77310030495393,16.679970719321492,21.40779496114273,,,,,,,,,,,,18.032525017010858,,19.32829603515802,17.89952155354765,17.452457634893296,,,,,,,,,,,,21.131351583272433,,19.48115013586388,16.01435102098981,15.63757056922963,,,,,,,,,,,,-1.5653448378596602,,17.85628229279039,17.000029057896054,-1.5653448378596602,,,,,,,,,,,,16.45481784568457,,16.008748334436095,-1.5653448378596602,17.511392398225215,,,,,,,,,,,,19.921270009092634,,-1.5653448378596602,18.098673136026008,-1.5653448378596602,,,,,,,,,,,,-1.5653448378596602,,-1.5653448378596602,-1.5653448378596602,19.262030732936502,,,,,,,,,,,,18.442465570926256,,-1.5653448378596602,18.128840459529577,15.909352487374175,,,,,,,,,,,,18.744781290831625
UT_C18_POS_63008,,-1.5653448378596602,16.650480455241333,17.60594207802587,,,,,,,,,,,,19.538498151799658,,16.32579196988073,16.072494195858223,19.553344114789844,,,,,,,,,,,,18.285175696224194,,19.212398537909127,18.08191897495514,-1.5653448378596602,,,,,,,,,,,,19.927158007662175,,17.426416938682472,-1.5653448378596602,17.430868050725152,,,,,,,,,,,,-1.5653448378596602,,15.86419678681289,18.269074159095975,16.30560187107173,,,,,,,,,,,,16.764938826842286,,18.125924058808238,19.74032214493431,-1.5653448378596602,,,,,,,,,,,,17.916372432399456,,18.250027442960246,-1.5653448378596602,15.580060577944003,,,,,,,,,,,,15.532309196457984,,19.26989498876768,21.93311402180888,-1.5653448378596602,,,,,,,,,,,,15.356089909855624,,17.25791280889818,-1.5653448378596602,18.722504581423863,,,,,,,,,,,,17.288442378857148,,15.4958394159232,17.987611540676106,16.038990556573673,,,,,,,,,,,,-1.5653448378596602
UT_C18_POS_75093,,-1.5653448378596602,15.877310905775461,16.838730473809246,,,,,,,,,,,,17.833693470994984,,-1.5653448378596602,15.00953613062762,18.51844558276531,,,,,,,,,,,,18.145370970935918,,17.516780346211554,17.01518743535004,-1.5653448378596602,,,,,,,,,,,,19.70986849949543,,18.841273482196435,-1.5653448378596602,15.481182307956482,,,,,,,,,,,,-1.5653448378596602,,15.102569437965247,17.000819450304807,15.994269232990664,,,,,,,,,,,,15.845066466623921,,16.983749717755945,18.765530019867324,-1.5653448378596602,,,,,,,,,,,,16.24802780010193,,18.605898613105765,-1.5653448378596602,18.81753114017491,,,,,,,,,,,,15.66328001173399,,17.370230873879148,20.256699582479612,-1.5653448378596602,,,,,,,,,,,,15.542448024676991,,15.687098972665503,-1.5653448378596602,18.453944770161943,,,,,,,,,,,,16.869276037981948,,-1.5653448378596602,17.118911475764683,-1.5653448378596602,,,,,,,,,,,,20.28488711737229
UT_C18_POS_71637,,-1.5653448378596602,16.521396932990186,18.00571160121412,,,,,,,,,,,,19.69539578406181,,15.798211904249774,16.36912112311976,19.184758536546678,,,,,,,,,,,,18.532457368827746,,19.659673328655145,18.145753568628137,-1.5653448378596602,,,,,,,,,,,,21.045363867238763,,19.597908877957213,-1.5653448378596602,17.70647106099103,,,,,,,,,,,,-1.5653448378596602,,16.268032771254,18.122139942604967,15.937923186697825,,,,,,,,,,,,16.896282256896516,,18.260460626781924,19.634962386274502,-1.5653448378596602,,,,,,,,,,,,17.3948839160082,,18.74891093848769,-1.5653448378596602,17.755333513915044,,,,,,,,,,,,14.972632618234432,,19.297830346497296,21.399397369378963,-1.5653448378596602,,,,,,,,,,,,-1.5653448378596602,,16.980752101967294,-1.5653448378596602,19.81235548124037,,,,,,,,,,,,18.518335041750987,,16.49067259664127,19.11774048975637,-1.5653448378596602,,,,,,,,,,,,20.677584940052572
UT_C18_POS_67662,,20.51761355073882,14.949340138527951,-1.5653448378596602,,,,,,,,,,,,-1.5653448378596602,,-1.5653448378596602,15.89230207860863,-1.5653448378596602,,,,,,,,,,,,-1.5653448378596602,,-1.5653448378596602,-1.5653448378596602,21.476529565907153,,,,,,,,,,,,-1.5653448378596602,,17.08474196385164,17.10237189821279,-1.5653448378596602,,,,,,,,,,,,19.534301552423926,,19.695794112568727,18.0825479960904,19.676065020212658,,,,,,,,,,,,17.56803975203354,,16.10901380708951,-1.5653448378596602,-1.5653448378596602,,,,,,,,,,,,18.340481252566796,,-1.5653448378596602,-1.5653448378596602,-1.5653448378596602,,,,,,,,,,,,21.678694476945996,,-1.5653448378596602,-1.5653448378596602,18.070155858113125,,,,,,,,,,,,-1.5653448378596602,,17.970586656403764,-1.5653448378596602,15.033600230142085,,,,,,,,,,,,-1.5653448378596602,,-1.5653448378596602,-1.5653448378596602,22.180330630252723,,,,,,,,,,,,-1.5653448378596602
UT_C18_POS_64138,,21.833868715990963,15.24358730787121,-1.5653448378596602,,,,,,,,,,,,-1.5653448378596602,,-1.5653448378596602,15.847386677852683,-1.5653448378596602,,,,,,,,,,,,-1.5653448378596602,,-1.5653448378596602,-1.5653448378596602,21.995545831815743,,,,,,,,,,,,-1.5653448378596602,,17.910116144370487,17.292330171454807,-1.5653448378596602,,,,,,,,,,,,19.777548621806194,,20.3801568498182,18.16134488527727,21.057145286303626,,,,,,,,,,,,17.126846412599843,,16.85837724945973,-1.5653448378596602,-1.5653448378596602,,,,,,,,,,,,19.582805832264082,,-1.5653448378596602,-1.5653448378596602,-1.5653448378596602,,,,,,,,,,,,22.228581656000678,,-1.5653448378596602,-1.5653448378596602,19.234914003522327,,,,,,,,,,,,-1.5653448378596602,,17.347275150803654,-1.5653448378596602,15.452339064401052,,,,,,,,,,,,-1.5653448378596602,,-1.5653448378596602,-1.5653448378596602,22.41766673752419,,,,,,,,,,,,-1.5653448378596602
