metabolite_kegg_id,metabolite_name,metabolite_compound_id,gene_id,gene_description,kegg_ko,ec_number,link_via
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g1060.t1,Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain,K03942,,KO:K03942->RXN:R11945
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g1111.t1,FAD binding,K00480,,KO:K00480->RXN:R00818
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g1179.t1,"Component of the microsomal membrane bound fatty acid elongation system, which produces the 26-carbon very long-chain fatty acids (VLCFA) from palmitate. Catalyzes the reduction of the 3-ketoacyl-CoA intermediate that is formed in each cycle of fatty acid elongation. VLCFAs serve as precursors for ceramide and sphingolipids",K10251,,KO:K10251->RXN:R08945
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g1181.t1,Component of,K09699,,KO:K09699->RXN:R01651
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g1235.t1,"Nitrate reductase is a key enzyme involved in the first step of nitrate assimilation in plants, fungi and bacteria",K10534,,KO:K10534->RXN:R00794
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g134.t1,The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2),K00627,,KO:K00627->RXN:R00209
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g1349.t1,Molybdopterin-binding domain of aldehyde dehydrogenase,K00106,,KO:K00106->RXN:R01768
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g1388.t1,protein serine/threonine phosphatase activity,K00015,,KO:K00015->RXN:R01388
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g1550.t1,Isocitrate dehydrogenase NAD regulatory subunit 1,K00030,,KO:K00030->RXN:R00709
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g1589.t1,"Nitrate reductase is a key enzyme involved in the first step of nitrate assimilation in plants, fungi and bacteria",K10534,,KO:K10534->RXN:R00794
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g1612.t1,"oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor",,1.16.1.7,EC:1.16.1.7->RXN:R00092
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g1665.t1,"Is involved in NO detoxification in an aerobic process, termed nitric oxide dioxygenase (NOD) reaction that utilizes O(2) and NAD(P)H to convert NO to nitrate, which protects the bacterium from various noxious nitrogen compounds. Therefore, plays a central role in the inducible response to nitrosative stress",,1.14.12.17,EC:1.14.12.17->RXN:R05724
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g1695.t1,structural constituent of ribosome,K00015,,KO:K00015->RXN:R01388
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g170.t1,Belongs to the Glu Leu Phe Val dehydrogenases family,,1.4.1.4,EC:1.4.1.4->RXN:R00145
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g1770.t1,UDP-glucose 6-dehydrogenase activity,K00012,,KO:K00012->RXN:R00286
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g1815.t1,Catalyzes the sequential NAD-dependent oxidations of L- histidinol to L-histidinaldehyde and then to L-histidine,K00013,,KO:K00013->RXN:R01163
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g1899.t1,oxoglutarate dehydrogenase (succinyl-transferring) activity,K00164,,KO:K00164->RXN:R08549
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g1919.t1,ubiquitin modification-dependent histone binding,K00326,,KO:K00326->RXN:R00100
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g1924.t1,D-xylose 1-dehydrogenase (NADP+) activity,K00010,,KO:K00010->RXN:R01183
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g1960.t1,proline dehydrogenase activity,K00286,,KO:K00286->RXN:R01248
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g2042.t1,Glutamate/Leucine/Phenylalanine/Valine dehydrogenase,,1.4.1.4,EC:1.4.1.4->RXN:R00145
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g2114.t1,Belongs to the pyrroline-5-carboxylate reductase family,K00286,,KO:K00286->RXN:R01248
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g2157.t1,Catalyzes the oxidation of 3-carboxy-2-hydroxy-4- methylpentanoate (3-isopropylmalate) to 3-carboxy-4-methyl-2- oxopentanoate. The product decarboxylates to 4-methyl-2 oxopentanoate,K00052,,KO:K00052->RXN:R10052
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g2174.t1,Belongs to the class-I pyridine nucleotide-disulfide oxidoreductase family,K00383,,KO:K00383->RXN:R00094
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g2189.t1,Aldehyde dehydrogenase 7 family member A1,K14085,,KO:K14085->RXN:R00710
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g2192.t1,Monodehydroascorbate reductase,K08232,,KO:K08232->RXN:R00095
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g2277.t1,PFAM fatty acid desaturase,K00496,,KO:K00496->RXN:R06945
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g2298.t1,26S proteasome non-atpase regulatory subunit,K00134,,KO:K00134->RXN:R01061
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g2316.t1,4-hydroxy-tetrahydrodipicolinate reductase,K00215,,KO:K00215->RXN:R04198
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g2331.t1,belongs to the aldehyde dehydrogenase family,K00135,,KO:K00135->RXN:R00713
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g2350.t1,L-galactose dehydrogenase,K17744,,KO:K17744->RXN:R07675
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g2436.t1,The glycine cleavage system catalyzes the degradation of glycine. The H protein shuttles the methylamine group of glycine from the P protein to the T protein,K02437,,KO:K02437->RXN:R01221
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g2474.t1,Oxidoreductase,,1.6.5.9,EC:1.6.5.9->RXN:R02163
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g2499.t1,dihydrolipoyl dehydrogenase activity,K00382,,KO:K00382->RXN:R01651
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g253.t1,"iron hydrogenase, small subunit",K00336,,KO:K00336->RXN:R11945
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g2600.t1,20-aldehyde-leukotriene B4 20-monooxygenase activity,,1.14.14.1,EC:1.14.14.1->RXN:R03088
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g2712.t1,IMP dehydrogenase activity,K00088,,KO:K00088->RXN:R01130
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g2768.t1,Belongs to the eukaryotic NMN adenylyltransferase family,K06210,,KO:K06210->RXN:R00137
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g2823.t1,aldehyde dehydrogenase (NAD) activity,K00128,,KO:K00128->RXN:R06366
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g288.t1,Catalyzes the reversible adenylation of nicotinate mononucleotide (NaMN) to nicotinic acid adenine dinucleotide (NaAD),K00969,,KO:K00969->RXN:R00137
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g2880.t1,Deoxyhypusine synthase,,2.5.1.46,EC:2.5.1.46->RXN:R07478
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g2903.t1,Ergosterol biosynthesis ERG4/ERG24 family,K00213,,KO:K00213->RXN:R01451
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g2997.t1,NAD-dependent protein deacetylase,K11416,,KO:K11416->RXN:R10634
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g3029.t1,Belongs to the short-chain dehydrogenases reductases (SDR) family,K13606,,KO:K13606->RXN:R08914
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g3054.t1,protein heterodimerization activity,,1.16.1.7,EC:1.16.1.7->RXN:R00092
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g3066.t1,"Oxidoreductase family, NAD-binding Rossmann fold",K00010,,KO:K00010->RXN:R01183
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g3074.t1,N-terminal domain of oxidoreductase,K07119,,KO:K07119->RXN:R04556
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g3082.t1,"Oxidoreductase family, C-terminal alpha beta domain",K00010,,KO:K00010->RXN:R01183
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g3106.t1,Sir2 family,K11412,,KO:K11412->RXN:R10634
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g3137.t1,Catalyzes the reduction of hydroxylamine to form NH(3) and H(2)O,K05601,,KO:K05601->RXN:R00143
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g3137.t2,Prismane/CO dehydrogenase family,K05601,,KO:K05601->RXN:R00143
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g3268.t1,NADH dehydrogenase (quinone) activity,K03943,,KO:K03943->RXN:R11945
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g3400.t1,NADH dehydrogenase (quinone) activity,K03934,,KO:K03934->RXN:R11945
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g3479.t1,Belongs to the enoyl-CoA hydratase isomerase family,K15016,,KO:K15016->RXN:R01975
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g3522.t1,succinate-semialdehyde dehydrogenase [NAD(P)+] activity,K00139,,KO:K00139->RXN:R00713
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g358.t1,homoserine dehydrogenase activity,K12524,,KO:K12524->RXN:R01773
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g361.t1,Zinc-binding dehydrogenase,K13953,,KO:K13953->RXN:R06927
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g3654.t1,)-reductase,K00213,,KO:K00213->RXN:R01451
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g366.t1,"PFAM Peptidase S1 S6, chymotrypsin Hap",,1.3.1.74,EC:1.3.1.74->RXN:R07349
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g3697.t1,adenylate kinase activity,K00858,,KO:K00858->RXN:R00104
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g3738.t1,glucose-6-phosphate dehydrogenase activity,K00036,,KO:K00036->RXN:R10907
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g3792.t1,regulation of cellular response to testosterone stimulus,K11411,,KO:K11411->RXN:R10634
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g3834.t1,DNA ligase,K10747,,KO:K10747->RXN:R00382
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g3939.t1,3-hydroxyisobutyrate dehydrogenase,K00020,,KO:K00020->RXN:R05066
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g395.t1,Flavodoxin,K03809,,KO:K03809->RXN:R03643
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g4034.t1,DNA ligase that catalyzes the formation of phosphodiester linkages between 5'-phosphoryl and 3'-hydroxyl groups in double-stranded DNA using NAD as a coenzyme and as the energy source for the reaction. It is essential for DNA replication and repair of damaged DNA,K01972,,KO:K01972->RXN:R00382
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g4295.t1,D-arabinitol dehydrogenase 1-like,,1.1.1.407,EC:1.1.1.407->RXN:R11638
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g4302.t1,Dehydrogenase,K00005,,KO:K00005->RXN:R10715
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g4338.t1,Dehydrogenase E1 component,K00166,,KO:K00166->RXN:R01651
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g4452.t1,NAD+ diphosphatase activity,K03426,,KO:K03426->RXN:R00103
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g4476.t1,"PFAM D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain",K03778,,KO:K03778->RXN:R00704
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g4507.t1,iron ion binding,,1.14.14.1,EC:1.14.14.1->RXN:R03088
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g4527.t1,3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity,K00167,,KO:K00167->RXN:R01651
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g4554.t1,malate metabolic process,K00024,,KO:K00024->RXN:R07136
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g4583.t1,Sir2 family,K11121,,KO:K11121->RXN:R10634
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g4681.t1,phosphoglycerate dehydrogenase activity,K00058,,KO:K00058->RXN:R01513
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g4699.t1,"Catalyzes the initial reaction in the xylose utilization pathway by reducing D-xylose into xylitol. Xylose is a major component of hemicelluloses such as xylan. Most fungi utilize D- xylose via three enzymatic reactions, xylose reductase (XR), xylitol dehydrogenase (XDH), and xylulokinase, to form xylulose 5- phosphate, which enters pentose phosphate pathway (By similarity)",K17743,,KO:K17743->RXN:R09477
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g4736.t1,glycine dehydrogenase (decarboxylating) activity,K00281,,KO:K00281->RXN:R01221
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g4738.t1,glycerol-3-phosphate catabolic process,K00006,,KO:K00006->RXN:R00842
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g4743.t1,"Catalyzes the oxidative decarboxylation of 6- phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH",K00033,,KO:K00033->RXN:R10221
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g4754.t1,Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family,K03778,,KO:K03778->RXN:R00704
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g4828.t1,KR domain,K05783,,KO:K05783->RXN:R05292
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g484.t1,Belongs to the mannitol dehydrogenase family,K00045,,KO:K00045->RXN:R00868
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g4862.t1,The glycine cleavage system catalyzes the degradation of glycine,K00605,,KO:K00605->RXN:R01221
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g4920.t1,Pyridine nucleotide-disulphide oxidoreductase,,1.6.5.9,EC:1.6.5.9->RXN:R02163
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g5033.t1,enoyl-CoA hydratase activity,K10527,,KO:K10527->RXN:R07890
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g5093.t1,quinone binding,K03940,,KO:K03940->RXN:R11945
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g5114.t1,glutathione-disulfide reductase activity,K00383,,KO:K00383->RXN:R00094
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g5178.t1,pyruvate dehydrogenase (acetyl-transferring) activity,K00162,,KO:K00162->RXN:R00209
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g5204.t1,quinone binding,K03935,,KO:K03935->RXN:R11945
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g5212.t1,Methylmalonate-semialdehyde dehydrogenase,K00140,,KO:K00140->RXN:R00705
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g5280.t1,c-3 sterol dehydrogenase c-4 decarboxylase,,1.1.1.170,EC:1.1.1.170->RXN:R04483
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g5313.t1,PFAM FAD linked oxidase domain protein,K03777,,KO:K03777->RXN:R00704
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g5328.t1,dihydrolipoyl dehydrogenase activity,K00382,,KO:K00382->RXN:R01651
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g5333.t1,Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain,K03942,,KO:K03942->RXN:R11945
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g5343.t1,adenylate kinase activity,K00858,,KO:K00858->RXN:R00104
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g5372.t1,Catalyzes the oxidation of 3-carboxy-2-hydroxy-4- methylpentanoate (3-isopropylmalate) to 3-carboxy-4-methyl-2- oxopentanoate. The product decarboxylates to 4-methyl-2 oxopentanoate,K00052,,KO:K00052->RXN:R10052
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g5465.t1,NADPH oxidase,,1.6.3.1,EC:1.6.3.1->RXN:R07171
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g5491.t1,ATP-NAD kinase,K00858,,KO:K00858->RXN:R00104
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g5577.t1,methylenetetrahydrofolate reductase (NAD(P)H) activity,K00297,,KO:K00297->RXN:R07168
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g5637.t1,adenylate kinase activity,K00858,,KO:K00858->RXN:R00104
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g5685.t1,Zinc-binding dehydrogenase,K13953,,KO:K13953->RXN:R06927
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g5726.t1,phosphoglycerate dehydrogenase activity,K03778,,KO:K03778->RXN:R00704
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g574.t1,lipoamidase activity,K11414,,KO:K11414->RXN:R10634
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g578.t1,NAD+ synthase (glutamine-hydrolyzing) activity,K01950,,KO:K01950->RXN:R00257
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g5896.t1,protein folding in endoplasmic reticulum,,2.4.2.30,EC:2.4.2.30->RXN:R04176
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g592.t1,Dehydrogenase,K00008,,KO:K00008->RXN:R01896
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g5933.t1,Minor allergen Alt a 7,K03809,,KO:K03809->RXN:R03643
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g5987.t1,D-3-phosphoglycerate dehydrogenase-like protein,K00058,,KO:K00058->RXN:R01513
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g6018.t1,The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2),K00627,,KO:K00627->RXN:R00209
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g6093.t1,"Malic enzyme, NAD binding domain",K00027,,KO:K00027->RXN:R00214
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g6103.t1,dihydrolipoyllysine-residue acetyltransferase activity,K00627,,KO:K00627->RXN:R00209
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g6164.t1,component of pyruvate dehydrogenase complex,K00627,,KO:K00627->RXN:R00209
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g6247.t1,oxidation-reduction process,K00208,,KO:K00208->RXN:R04955
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g6340.t1,"Is involved in NO detoxification in an aerobic process, termed nitric oxide dioxygenase (NOD) reaction that utilizes O(2) and NAD(P)H to convert NO to nitrate, which protects the bacterium from various noxious nitrogen compounds. Therefore, plays a central role in the inducible response to nitrosative stress",K15765,,KO:K15765->RXN:R09513
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g6382.t1,"Is involved in NO detoxification in an aerobic process, termed nitric oxide dioxygenase (NOD) reaction that utilizes O(2) and NAD(P)H to convert NO to nitrate, which protects the bacterium from various noxious nitrogen compounds. Therefore, plays a central role in the inducible response to nitrosative stress",K15765,,KO:K15765->RXN:R09513
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g6392.t1,to Saccharomyces cerevisiae NDE2 (YDL085W) and NDE1 (YMR145C),,1.6.5.9,EC:1.6.5.9->RXN:R02163
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g6398.t1,DNA ligase,K10747,,KO:K10747->RXN:R00382
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g6455.t1,dihydrolipoyllysine-residue succinyltransferase activity,K00658,,KO:K00658->RXN:R01933
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g653.t1,Belongs to the globin family,,1.14.12.17,EC:1.14.12.17->RXN:R05724
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g6573.t1,D-xylose 1-dehydrogenase (NADP+) activity,K00010,,KO:K00010->RXN:R01183
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g6655.t1,"Malic enzyme 3, NADP( )-dependent, mitochondrial",K00027,,KO:K00027->RXN:R00214
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g6690.t1,Belongs to the GcvT family,K00605,,KO:K00605->RXN:R01221
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g6701.t1,glutathione-disulfide reductase activity,K00383,,KO:K00383->RXN:R00094
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g6722.t1,NADH dehydrogenase activity,K03941,,KO:K03941->RXN:R11945
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g673.t1,hydroxypyruvate reductase activity,K15893,,KO:K15893->RXN:R01388
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g676.t1,poly(U) RNA binding,K03942,,KO:K03942->RXN:R11945
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g6776.t1,glycerol-3-phosphate catabolic process,K00006,,KO:K00006->RXN:R00842
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g6789.t1,glycerol-3-phosphate catabolic process,K00006,,KO:K00006->RXN:R00842
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g6806.t1,DNA ligase (ATP) activity,K10747,,KO:K10747->RXN:R00382
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g6935.t1,3hydroxyisobutyrate dehydrogenase,K00020,,KO:K00020->RXN:R05066
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g6942.t1,Bifunctional enzyme. Involved in de novo dTMP biosynthesis. Key enzyme in folate metabolism,K13998,,KO:K13998->RXN:R00937
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g6943.t1,"Is involved in NO detoxification in an aerobic process, termed nitric oxide dioxygenase (NOD) reaction that utilizes O(2) and NAD(P)H to convert NO to nitrate, which protects the bacterium from various noxious nitrogen compounds. Therefore, plays a central role in the inducible response to nitrosative stress",K15765,,KO:K15765->RXN:R09513
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g6973.t1,KR domain,K00065,,KO:K00065->RXN:R01542
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g6983.t1,pyrroline-5-carboxylate reductase activity,K00286,,KO:K00286->RXN:R01248
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g7072.t1,"In addition to serving as the E3 component of 2-oxoglutarate dehydrogenase complex and as part of pyruvate dehydrogenase, this protein also acts as the glycine decarboxylase (aka glycine cleavage system) L-protein",K00382,,KO:K00382->RXN:R01651
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g713.t1,NADH dehydrogenase (quinone) activity,K03936,,KO:K03936->RXN:R11945
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g7151.t1,pyruvate dehydrogenase (acetyl-transferring) activity,K00161,,KO:K00161->RXN:R00209
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g7165.t1,Belongs to the aldehyde dehydrogenase family,K00128,,KO:K00128->RXN:R06366
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g7221.t1,"cytochrome-b5 reductase activity, acting on NAD(P)H",K00326,,KO:K00326->RXN:R00100
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g7328.t1,guanylate kinase activity,K11151,,KO:K11151->RXN:R03048
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g7339.t1,Belongs to the UDP-glucose GDP-mannose dehydrogenase family,K13015,,KO:K13015->RXN:R00421
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g7345.t1,homoserine dehydrogenase activity,K12524,,KO:K12524->RXN:R01773
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g7382.t1,Oxidoreductase FAD-binding domain,,1.14.12.17,EC:1.14.12.17->RXN:R05724
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g7417.t1,Belongs to the 3-beta-HSD family,,1.1.1.170,EC:1.1.1.170->RXN:R04483
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g7431.t1,1-pyrroline-5-carboxylate dehydrogenase activity,K00286,,KO:K00286->RXN:R01248
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g7456.t1,"lactate/malate dehydrogenase, NAD binding domain",K00025,,KO:K00025->RXN:R07136
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g746.t1,nitrate reductase,K10534,,KO:K10534->RXN:R00794
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g7518.t1,Glycerol-3-phosphate dehydrogenase,K00006,,KO:K00006->RXN:R00842
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g752.t1,nitrate reductase,K10534,,KO:K10534->RXN:R00794
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g7546.t1,Belongs to the complex I 75 kDa subunit family,K03934,,KO:K03934->RXN:R11945
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g7596.t1,Cytochrome b5 reductase,K00326,,KO:K00326->RXN:R00100
C00003,NAD+,HILIC_POS_0126_NADpositive_M664p1164_16p07,g7646.t1,structural constituent of ribosome,K00030,,KO:K00030->RXN:R00709
