compound_id,log2FC,pval,comparison,condition,timepoint_h,adj_pval,significant
UT_HILIC_POS_20951,-2.639244027358913,0.0173772388249271,P_vs_0h_t144h,P,144,0.0349599903297811,True
UT_HILIC_POS_57090,-1.0748944337763824,0.0136912514523478,P_vs_0h_t144h,P,144,0.0285187836374755,True
UT_HILIC_POS_55328,-1.0870424779335792,0.0483899901903975,P_vs_0h_t144h,P,144,0.0801786525773795,False
UT_HILIC_POS_82463,-0.2740201655351413,0.6550072760154921,P_vs_0h_t144h,P,144,0.697368664519971,False
UT_HILIC_POS_75118,-1.897709486479652,0.0158317581283443,P_vs_0h_t144h,P,144,0.0323019599330621,True
UT_HILIC_POS_82656,-0.3962316964438201,0.7003591234125224,P_vs_0h_t144h,P,144,0.7399929730466334,False
UT_HILIC_POS_45412,-0.3814942244085948,0.6800934050902006,P_vs_0h_t144h,P,144,0.7220686568606777,False
UT_HILIC_POS_66413,4.5373302596043015,0.3910022189557705,P_vs_0h_t144h,P,144,0.445405057456313,False
UT_HILIC_POS_35647,-0.7894097552482755,0.0508291157234216,P_vs_0h_t144h,P,144,0.0834076915032782,False
UT_HILIC_POS_46817,5.427264068229583,1.996765658267932e-07,P_vs_0h_t144h,P,144,4.952035837111659e-06,True
UT_HILIC_POS_53677,19.110322868944664,2.524763135322977e-07,P_vs_0h_t144h,P,144,5.85668539421133e-06,True
UT_HILIC_POS_16678,4.876421101273625,2.258930975539163e-05,P_vs_0h_t144h,P,144,0.0001639063186516,True
UT_HILIC_POS_17349,-3.076088217959395,0.0012599292647487,P_vs_0h_t144h,P,144,0.004414077126614,True
UT_HILIC_POS_68366,6.501011768107475,0.0029200647593781,P_vs_0h_t144h,P,144,0.008301427545519,True
UT_HILIC_POS_81704,2.9472902359337017,5.874367809924105e-06,P_vs_0h_t144h,P,144,5.7284440235629325e-05,True
UT_HILIC_POS_69569,3.882505714459836,0.3910022189557705,P_vs_0h_t144h,P,144,0.445405057456313,False
UT_HILIC_POS_63790,-7.74351452880715,0.151573102188716,P_vs_0h_t144h,P,144,0.2049986037552333,False
