gene_id	7554b029c9b5405b10af2abbc8cfb8	4b1efadfac8ef7d618dd0a72d74965	b805c74d2269a0bc7cb71fb4228e51	bb555814a8fcf39702f665bd3d7f60	6d23896f3a3f116f878335e8ae25aa	e1e8d55c706ebfc3586551ef3e39b0	e18610c05f8d2997ea5b827525af3a	814d63ad75ee01be7ecee119ad3385	7ed5e249f5a8fe881b026b638c027c
MSTRG.1	73.83565063128422	72.11286468189105	72.11286468189105	115.24778498682207	115.24778498682207	111.32345854772417	181.23466246121225	130.52184182256127	130.52184182256127
MSTRG.10	5.986674375509532	8.215389647304043	8.215389647304043	0.0	0.0	2.182812912700474	0.0	0.0	0.0
MSTRG.1000	130.70905719862478	89.4564650484218	89.4564650484218	68.20787274730286	68.20787274730286	0.0	46.103554485746976	50.86512953379226	50.86512953379226
MSTRG.1001	98.78012719590727	119.57956042186997	119.57956042186997	0.0	0.0	33.83360014685734	52.46266544929828	36.469338156303884	36.469338156303884
MSTRG.1003	47.893395004076254	29.21027430152549	29.21027430152549	0.0	0.0	0.0	15.897777408878266	0.0	0.0
MSTRG.1004	157.64909188841767	204.47192011067844	204.47192011067844	218.73559191376435	218.73559191376435	243.38363976610285	204.28643970408572	251.44648939346362	251.44648939346362
MSTRG.1007	0.0	47.46669573997892	47.46669573997892	59.975888105387	59.975888105387	40.38203888495877	75.51444269217177	66.22064033644652	66.22064033644652
MSTRG.1008	170.62021970202164	114.10263399033394	114.10263399033394	82.31984641915862	82.31984641915862	0.0	106.51510863948438	83.49558998943257	83.49558998943257
MSTRG.1009	153.65797563807797	187.12831974414766	187.12831974414766	71.7358661652668	71.7358661652668	89.49532942071943	104.92533089859656	102.68997849275041	102.68997849275041
MSTRG.1010	122.72682469794539	150.6154768672408	150.6154768672408	223.43958313771626	223.43958313771626	231.37816874625022	309.2117706026823	247.60761169280005	247.60761169280005
MSTRG.1013	197.56025439181454	212.68730975798246	212.68730975798246	225.79157874969223	225.79157874969223	241.20082685340236	279.8008823962575	278.3186332981086	278.3186332981086
MSTRG.1014	11.973348751019063	11.86667393499473	11.86667393499473	0.0	0.0	15.279690388903317	0.0	0.0	0.0
MSTRG.1015	42.90449969115164	44.7282325242109	44.7282325242109	0.0	0.0	24.010942039705213	28.61599933598088	0.0	0.0
MSTRG.1016	23.946697502038127	41.98976930844289	41.98976930844289	18.815964895807685	18.815964895807685	18.553909757954028	13.513110797546526	14.395791377488376	14.395791377488376
MSTRG.1017	167.62688251426687	156.09240329877684	156.09240329877684	69.38387055329083	69.38387055329083	79.67267131356729	65.18088737640089	58.542884935119396	58.542884935119396
MSTRG.1018	237.4714168952114	240.07194191566262	240.07194191566262	211.67960507783647	211.67960507783647	224.8297300081488	185.20910681343182	198.66192100933958	198.66192100933958
MSTRG.102	223.5025100190225	99.4974968395712	99.4974968395712	61.151885911374976	61.151885911374976	0.0	1534.1355199567527	135.32043894839072	135.32043894839072
MSTRG.1020	18.957802189113515	21.907705726144115	21.907705726144115	0.0	0.0	0.0	0.0	0.0	0.0
MSTRG.1021	62.86008094285008	74.85132789765906	74.85132789765906	79.96785080718266	79.96785080718266	72.03282611911564	222.56888372429574	68.14007918677831	68.14007918677831
MSTRG.1022	183.59134751562564	186.21549867222498	186.21549867222498	0.0	0.0	0.0	40.53933239263958	23.033266203981402	23.033266203981402
MSTRG.1023	27.937813752377814	54.769264315360296	54.769264315360296	0.0	0.0	0.0	11.9233330566587	15.355510802654267	15.355510802654267
MSTRG.1024	16.962244063943672	18.25642143845343	18.25642143845343	14.111973671855765	14.111973671855765	14.18828393255308	23.051777242873488	16.31523022782016	16.31523022782016
MSTRG.1025	195.5646962666447	213.60013082990514	213.60013082990514	137.5917433005937	137.5917433005937	135.33440058742937	135.92599684590917	109.40801446891166	109.40801446891166
MSTRG.1027	18.957802189113515	23.73334786998946	23.73334786998946	22.343958313771626	22.343958313771626	27.285161408755922	27.02622159509305	21.11382735364962	21.11382735364962
MSTRG.1028	26.940034689792892	31.948737517293505	31.948737517293505	68.20787274730286	68.20787274730286	69.85001320641517	69.15533172862045	79.65671228876901	79.65671228876901
MSTRG.1029	24.94447656462305	20.994884654221444	20.994884654221444	68.20787274730286	68.20787274730286	52.387509904811374	39.74444352219567	57.5831655099535	57.5831655099535
MSTRG.103	111.75125500951125	93.10774933611249	93.10774933611249	70.55986835927882	70.55986835927882	48.02188407941043	71.5399983399522	63.34148206094885	63.34148206094885
MSTRG.1030	77.82676688162391	72.11286468189105	72.11286468189105	38.80792759760335	38.80792759760335	0.0	42.129110133527405	42.22765470729924	42.22765470729924
MSTRG.1031	95.78679000815251	126.88212899725134	126.88212899725134	37.63192979161537	37.63192979161537	62.2101680119635	50.87288770841045	39.34849643180156	39.34849643180156
MSTRG.1032	16.962244063943672	27.384632157680148	27.384632157680148	11.759978059879803	11.759978059879803	0.0	11.9233330566587	7.677755401327134	7.677755401327134
MSTRG.1033	94.78901094556758	77.58979111342708	77.58979111342708	102.3118091209543	102.3118091209543	89.49532942071943	94.59177558282569	79.65671228876901	79.65671228876901
MSTRG.1034	256.4292190843249	231.85655226835857	231.85655226835857	112.89578937484612	112.89578937484612	99.31798752787157	104.13044202815264	114.2066115947411	114.2066115947411
MSTRG.1035	239.46697502038126	210.86166761413713	210.86166761413713	37.63192979161537	37.63192979161537	57.844542186562556	80.28377591483525	61.42204321061707	61.42204321061707
MSTRG.1036	83.81344125713343	79.41543325727243	79.41543325727243	50.56790565748315	50.56790565748315	72.03282611911564	77.1042204330596	69.09979861194421	69.09979861194421
MSTRG.1037	186.5846847033804	240.9847629875853	240.9847629875853	114.0717871808341	114.0717871808341	113.50627146042464	137.515774586797	89.25390654042793	89.25390654042793
MSTRG.1039	92.79345282039773	62.98465396266434	62.98465396266434	25.871951731735567	25.871951731735567	13.096877476202843	18.282444020210008	19.194388503317835	19.194388503317835
MSTRG.104	10.97556968843414	17.343600366530758	17.343600366530758	0.0	0.0	0.0	10.333555315770873	0.0	0.0
MSTRG.1040	74.83342969386914	126.88212899725134	126.88212899725134	114.0717871808341	114.0717871808341	87.31251650801896	163.74710731144614	110.36773389407755	110.36773389407755
MSTRG.1041	280.3759165863631	302.1437748064043	302.1437748064043	518.6150324406993	518.6150324406993	491.1329053576066	522.2419878816511	561.4358637220466	561.4358637220466
MSTRG.1043	245.45364939589078	282.0617112241055	282.0617112241055	123.47976962873794	123.47976962873794	142.97424578188102	139.90044119812876	111.32745331924343	111.32745331924343
MSTRG.1044	68.84675531835961	31.948737517293505	31.948737517293505	25.871951731735567	25.871951731735567	0.0	23.051777242873488	0.0	0.0
MSTRG.1046	110.75347594692633	101.32313898341654	101.32313898341654	276.3594844071754	276.3594844071754	244.47504622245307	215.4148838903005	224.57434548881866	224.57434548881866
MSTRG.1048	23.946697502038127	23.73334786998946	23.73334786998946	0.0	0.0	0.0	23.051777242873488	18.234669078151942	18.234669078151942
MSTRG.1049	62.86008094285008	51.11798002766961	51.11798002766961	78.79185300119468	78.79185300119468	62.2101680119635	85.84799800794264	71.97895688744188	71.97895688744188
MSTRG.105	60.86452281768023	54.769264315360296	54.769264315360296	58.79989029939902	58.79989029939902	43.65625825400948	65.9757762468448	71.01923746227598	71.01923746227598
MSTRG.1050	144.67796407481367	175.26164580915292	175.26164580915292	131.71175427065378	131.71175427065378	149.52268451998245	163.74710731144614	115.166331019907	115.166331019907
MSTRG.1051	172.6157778271915	200.82063582298775	200.82063582298775	171.69567967424513	171.69567967424513	187.72191049224074	221.77399485385183	180.42725193118764	180.42725193118764
MSTRG.1053	74.83342969386914	63.89747503458701	63.89747503458701	31.75194076167547	31.75194076167547	44.747664710359714	62.00133189462524	34.549899305972104	34.549899305972104
MSTRG.1054	91.79567375781282	83.97953861688578	83.97953861688578	35.27993417963941	35.27993417963941	52.387509904811374	57.23199867196176	53.744287809289936	53.744287809289936
MSTRG.1056	95.78679000815251	40.164127164597545	40.164127164597545	87.02383764311054	87.02383764311054	28.37656786510616	32.590443688200445	39.34849643180156	39.34849643180156
MSTRG.1057	50.886732191831015	51.11798002766961	51.11798002766961	32.927938567663446	32.927938567663446	38.19922597225829	45.30866561530306	38.38877700663567	38.38877700663567
MSTRG.1058	108.7579178217565	98.58467576764852	98.58467576764852	0.0	0.0	0.0	0.0	0.0	0.0
MSTRG.1059	31.9289300027175	24.64616894191213	24.64616894191213	29.39994514969951	29.39994514969951	36.01641305955782	0.0	17.274949652986052	17.274949652986052
MSTRG.106	90.7978946952279	110.45134970264326	110.45134970264326	161.11169942035332	161.11169942035332	156.07112325808387	159.77266295922658	143.95791377488376	143.95791377488376
MSTRG.1060	829.1544010080701	232.76937334028125	232.76937334028125	223.43958313771626	223.43958313771626	304.5024013217161	318.75043704800925	419.39738879749467	419.39738879749467
MSTRG.1061	261.41811439724955	209.03602547029178	209.03602547029178	63.50388152335094	63.50388152335094	52.387509904811374	54.84733206063002	66.22064033644652	66.22064033644652
MSTRG.1062	24.94447656462305	31.035916445370834	31.035916445370834	38.80792759760335	38.80792759760335	79.67267131356729	38.15466578130784	38.38877700663567	38.38877700663567
MSTRG.1063	114.74459219726602	46.553874668056245	46.553874668056245	9.407982447903843	9.407982447903843	17.462503301603792	8.743777574883048	19.194388503317835	19.194388503317835
